"MODE_DSC","CARRIER_TYPE","FREIGHT_RATES_ID","PORTCARRIER_ID"
"AIR   ","V888888883_1",3379,7445
"AIR   ","V888888883_1",3380,7445
"AIR   ","V888888883_1",3381,7445
"AIR   ","V888888883_1",3382,7445
"AIR   ","V888888883_1",3383,7445
"AIR   ","V888888883_1",3384,7445
"AIR   ","V888888883_1",3385,7445
"AIR   ","V888888883_1",3386,7445
"AIR   ","V888888883_1",3387,7445
"AIR   ","V888888883_1",3388,7445
"AIR   ","V888888883_1",3389,7445
"AIR   ","V888888883_1",3390,7445
"AIR   ","V888888883_1",3391,7445
"AIR   ","V888888883_1",3392,7445
"AIR   ","V888888883_1",3393,7445
"AIR   ","V888888883_1",3394,7445
"AIR   ","V888888883_1",3395,7445
"AIR   ","V888888883_1",3396,7445
"AIR   ","V888888883_1",3397,7445
"AIR   ","V888888883_1",3398,7445
"AIR   ","V888888883_1",3399,7445
"AIR   ","V888888883_1",3400,7445
"AIR   ","V888888883_1",3401,7445
"AIR   ","V888888883_1",3402,7445
"AIR   ","V888888883_1",3403,7445
"AIR   ","V888888883_1",3404,7445
"AIR   ","V888888883_1",3405,7445
"AIR   ","V888888883_1",3406,7445
"AIR   ","V888888883_1",3407,7445
"AIR   ","V888888883_1",3408,7445
"AIR   ","V888888883_1",3409,7445
"AIR   ","V888888883_1",3410,7445
"AIR   ","V888888883_1",3411,7445
"AIR   ","V888888883_1",3412,7445
"AIR   ","V888888883_1",3413,7445
"AIR   ","V888888883_1",3414,7445
"AIR   ","V888888883_1",3415,7445
"AIR   ","V888888883_1",3416,7445
"AIR   ","V888888883_1",3417,7445
"AIR   ","V888888883_1",3418,7445
"AIR   ","V888888883_1",3419,7445
"AIR   ","V888888883_1",3420,7445
"AIR   ","V888888883_1",3421,7445
"AIR   ","V888888883_1",3422,7445
"AIR   ","V888888883_1",3423,7445
"AIR   ","V888888883_1",3424,7445
"AIR   ","V888888883_1",3425,7445
"AIR   ","V888888883_1",3426,7445
"AIR   ","V888888883_1",3427,7445
"AIR   ","V888888883_1",3428,7445
"AIR   ","V888888883_1",3429,7445
"AIR   ","V888888883_1",3430,7445
"AIR   ","V888888883_1",3431,7445
"AIR   ","V888888883_1",3432,7445
"AIR   ","V888888883_1",3433,7445
"AIR   ","V888888883_1",3434,7445
"AIR   ","V888888883_1",3435,7445
"AIR   ","V888888883_1",3436,7445
"AIR   ","V888888883_1",3437,7445
"AIR   ","V888888883_1",3438,7445
"AIR   ","V888888883_1",3439,7445
"AIR   ","V888888883_1",3440,7445
"AIR   ","V888888883_1",3441,7445
"AIR   ","V888888883_1",3442,7445
"AIR   ","V888888883_1",3443,7445
"AIR   ","V888888883_1",3444,7445
"AIR   ","V888888883_1",3445,7445
"AIR   ","V888888883_1",3446,7445
"AIR   ","V888888883_1",3447,7445
"AIR   ","V888888883_1",3448,7445
"AIR   ","V888888883_1",3449,7445
"AIR   ","V888888883_1",3450,7445
"AIR   ","V888888883_1",3451,7445
"AIR   ","V888888883_1",3452,7445
"AIR   ","V888888883_1",3453,7445
"AIR   ","V888888883_1",3454,7445
"AIR   ","V888888883_1",3455,7445
"AIR   ","V888888883_1",3456,7445
"AIR   ","V888888883_1",3457,7445
"AIR   ","V888888883_1",3458,7445
"AIR   ","V888888883_1",3459,7445
"AIR   ","V888888883_1",3460,7445
"AIR   ","V888888883_1",3462,7445
"AIR   ","V888888883_1",3463,7445
"AIR   ","V888888883_1",3464,7445
"AIR   ","V888888883_1",3465,7445
"AIR   ","V888888883_1",3466,7445
"AIR   ","V888888883_1",3467,7445
"AIR   ","V888888883_1",3468,7446
"AIR   ","V888888883_1",3469,7446
"AIR   ","V888888883_1",3470,7446
"AIR   ","V888888883_1",3471,7446
"AIR   ","V888888883_1",3472,7446
"AIR   ","V888888883_1",3473,7446
"AIR   ","V888888883_1",3474,7446
"AIR   ","V888888883_1",3475,7446
"AIR   ","V888888883_1",3476,7446
"AIR   ","V888888883_1",3477,7446
"AIR   ","V888888883_1",3478,7446
"AIR   ","V888888883_1",3479,7446
"AIR   ","V888888883_1",3480,7446
"AIR   ","V888888883_1",3481,7446
"AIR   ","V888888883_1",3482,7446
"AIR   ","V888888883_1",3483,7446
"AIR   ","V888888883_1",3484,7446
"AIR   ","V888888883_1",3485,7446
"AIR   ","V888888883_1",3486,7446
"AIR   ","V888888883_1",3487,7446
"AIR   ","V888888883_1",3488,7446
"AIR   ","V888888883_1",3489,7446
"AIR   ","V888888883_1",3490,7446
"AIR   ","V888888883_1",3491,7446
"AIR   ","V888888883_1",3492,7446
"AIR   ","V888888883_1",3493,7446
"AIR   ","V888888883_1",3494,7446
"AIR   ","V888888883_1",3495,7446
"AIR   ","V888888883_1",3496,7446
"AIR   ","V888888883_1",3497,7446
"AIR   ","V888888883_1",3498,7446
"AIR   ","V888888883_1",3499,7446
"AIR   ","V888888883_1",3500,7446
"AIR   ","V888888883_1",3501,7446
"AIR   ","V888888883_1",3502,7446
"AIR   ","V888888883_1",3503,7446
"AIR   ","V888888883_1",3504,7446
"AIR   ","V888888883_1",3505,7446
"AIR   ","V888888883_1",3506,7446
"AIR   ","V888888883_1",3507,7446
"AIR   ","V888888883_1",3508,7446
"AIR   ","V888888883_1",3509,7446
"AIR   ","V888888883_1",3510,7446
"AIR   ","V888888883_1",3511,7446
"AIR   ","V888888883_1",3512,7446
"AIR   ","V888888883_1",3513,7446
"AIR   ","V888888883_1",3514,7446
"AIR   ","V888888883_1",3515,7446
"AIR   ","V888888883_1",3516,7446
"AIR   ","V888888883_1",3517,7446
"AIR   ","V888888883_1",3518,7446
"AIR   ","V888888883_1",3519,7446
"AIR   ","V888888883_1",3520,7446
"AIR   ","V888888883_1",3521,7446
"AIR   ","V888888883_1",3522,7446
"AIR   ","V888888883_1",3523,7446
"AIR   ","V888888883_1",3524,7446
"AIR   ","V888888883_1",3525,7446
"AIR   ","V888888883_1",3526,7446
"AIR   ","V888888883_1",3527,7446
"AIR   ","V888888883_1",3528,7446
"AIR   ","V888888883_1",3529,7446
"AIR   ","V888888883_1",3530,7446
"AIR   ","V888888883_1",3531,7446
"AIR   ","V888888883_1",3532,7446
"AIR   ","V888888883_1",3533,7446
"AIR   ","V888888883_1",3534,7446
"AIR   ","V888888883_1",3535,7446
"AIR   ","V888888883_1",3536,7446
"AIR   ","V888888883_1",3537,7446
"AIR   ","V888888883_1",3538,7446
"AIR   ","V888888883_1",3539,7446
"AIR   ","V888888883_1",3540,7446
"AIR   ","V888888883_1",3541,7446
"AIR   ","V888888883_1",3542,7446
"AIR   ","V888888883_1",3543,7446
"AIR   ","V888888883_1",3544,7446
"AIR   ","V888888883_1",3545,7446
"AIR   ","V888888883_1",3546,7446
"AIR   ","V888888883_1",3547,7446
"AIR   ","V888888883_1",3548,7446
"AIR   ","V888888883_1",3549,7446
"AIR   ","V888888883_1",3550,7446
"AIR   ","V888888883_1",3551,7446
"AIR   ","V888888883_1",3552,7446
"AIR   ","V888888883_1",3553,7446
"AIR   ","V888888883_1",3554,7446
"AIR   ","V888888883_1",3555,7446
"AIR   ","V888888883_1",3556,7446
"AIR   ","V888888883_1",3557,7446
"AIR   ","V888888883_1",3558,7446
"AIR   ","V888888883_1",3559,7446
"AIR   ","V888888883_1",3560,7446
"AIR   ","V888888883_1",3561,7446
"AIR   ","V888888883_1",3562,7446
"AIR   ","V888888883_1",3563,7446
"AIR   ","V888888883_1",3564,7446
"AIR   ","V888888883_1",3565,7446
"AIR   ","V888888883_1",3566,7446
"AIR   ","V888888883_1",3567,7446
"AIR   ","V888888883_1",3568,7446
"AIR   ","V888888883_1",3569,7446
"AIR   ","V888888883_1",3570,7446
"AIR   ","V888888883_1",3571,7446
"AIR   ","V888888883_1",3572,7446
"AIR   ","V888888883_1",3573,7446
"AIR   ","V888888883_1",3574,7446
"AIR   ","V888888883_1",3575,7446
"AIR   ","V888888883_1",3576,7446
"AIR   ","V888888883_1",3577,7446
"AIR   ","V888888883_1",3578,7446
"AIR   ","V888888883_1",3579,7446
"AIR   ","V888888883_1",3580,7446
"AIR   ","V888888883_1",3581,7446
"AIR   ","V888888883_1",3582,7446
"AIR   ","V888888883_1",3583,7446
"AIR   ","V888888883_1",3584,7446
"AIR   ","V888888883_1",3585,7446
