"PLANTPRODCUST_ID","PRODUCT_ID","PLANT_LOCATION_ID","CUSTOMER"
3972,1700094,14,"Customer_25"
3973,1700097,14,"Customer_25"
3974,1651302,14,"Customer_25"
3975,1688589,14,"Customer_25"
3976,1629341,14,"Customer_25"
3977,1656246,14,"Customer_25"
3978,1672706,14,"Customer_25"
3979,1674120,14,"Customer_25"
3980,1660579,14,"Customer_25"
3981,1687346,14,"Customer_25"
3982,1652538,14,"Customer_25"
3983,1660885,14,"Customer_25"
3984,1668550,14,"Customer_25"
3985,1668545,14,"Customer_25"
3986,1668547,14,"Customer_25"
3987,1683203,14,"Customer_25"
3988,1654621,14,"Customer_25"
3989,1677889,14,"Customer_25"
3990,1666295,14,"Customer_25"
3991,1668347,14,"Customer_25"
3992,1668346,14,"Customer_25"
3993,1668343,14,"Customer_25"
3994,1693618,14,"Customer_25"
3995,1699540,14,"Customer_25"
3996,1692997,14,"Customer_26"
3997,1693019,14,"Customer_26"
3998,1650586,14,"Customer_26"
3999,1675655,14,"Customer_26"
4000,1660673,14,"Customer_26"
4001,1650685,14,"Customer_26"
4002,1651302,14,"Customer_26"
4003,1651299,14,"Customer_26"
4004,1656246,14,"Customer_26"
4005,1689012,14,"Customer_26"
4006,1669702,14,"Customer_26"
4007,1656347,14,"Customer_26"
4008,1644050,14,"Customer_26"
4009,1668128,14,"Customer_26"
4010,1687346,14,"Customer_26"
4011,1677891,14,"Customer_26"
4012,1690092,14,"Customer_26"
4013,1688824,14,"Customer_26"
4014,1660885,14,"Customer_26"
4015,1696954,14,"Customer_26"
4016,1671416,14,"Customer_26"
4017,1668545,14,"Customer_26"
4018,1693104,14,"Customer_26"
4019,1693101,14,"Customer_26"
4020,1683203,14,"Customer_26"
4021,1662238,14,"Customer_26"
4022,1662274,14,"Customer_26"
4023,1663347,14,"Customer_26"
4024,1654622,14,"Customer_26"
4025,1693865,14,"Customer_26"
4026,1677884,14,"Customer_26"
4027,1677889,14,"Customer_26"
4028,1677878,14,"Customer_26"
4029,1692974,14,"Customer_26"
4030,1666954,14,"Customer_26"
4031,1689601,14,"Customer_26"
4032,1689556,14,"Customer_26"
4033,1689554,14,"Customer_26"
4034,1689553,14,"Customer_26"
4035,1693117,14,"Customer_26"
4036,1697872,14,"Customer_24"
4037,1697874,14,"Customer_24"
4038,1683197,14,"Customer_24"
4039,1683200,14,"Customer_24"
4040,1675654,14,"Customer_18"
4041,1675655,14,"Customer_18"
4042,1695346,14,"Customer_18"
4043,1679638,14,"Customer_18"
4044,1668608,14,"Customer_18"
4045,1651302,14,"Customer_18"
4046,1651299,14,"Customer_18"
4047,1689550,14,"Customer_18"
4048,1689549,14,"Customer_18"
